calgo_str,enforcer,info_loss_args_str,gen,alpha_dm,sample,enforcer_str,max_dist,anonymized_anonymity,alpha_adm,data,anonymized_attribute_anonymity,num_anonymized_edges,info_loss,num_removed_edges,max_k,handler_str,anonymized_degree_anonymity,za,gen_str,range_k,min_k,num_anonymized_entities,num_anonymized_fake_entities,calgo,num_raw_edges,num_fake_edges,gen_n,adm,dm,am,radm,num_raw_entities,removed_entities
km#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.00,0.0,1,0.5,freebase,5,928526,adm,10528,50,n,1,2.0,"zipf#5,50,5,2",5,5,4053,0,km,43780,895274,1,0.21046331000880017,0.18950393333332696,0.2314226866842671,0.025999817706226405,5000,947
km#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.00,0.0,1,0.5,freebase,6,913848,adm,11145,50,n,1,2.0,"zipf#5,50,5,2",5,5,4005,0,km,43780,881213,0,0.21960911480861708,0.19910782666665816,0.24011040295056688,0.02574595381714713,5000,995
km#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.00,0.0,1,0.5,freebase,14,919162,adm,11089,50,n,1,2.0,"zipf#5,50,5,2",5,5,4053,0,km,43780,886471,2,0.2101703835794563,0.18948625333332944,0.2308545138255801,0.025635899705436734,5000,947
km#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.25,0.25,1,0.5,freebase,8,1141863,adm,1747,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,km,43780,1099830,1,0.029755339944357074,0.0031302733333333933,0.05638040655538084,0.02683604407457476,5000,15
km#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.25,0.25,1,0.5,freebase,20,1187169,adm,822,50,n,2,2.0,"zipf#5,50,5,2",5,5,4985,0,km,43780,1144211,2,0.030442258239797456,0.0032382466666667697,0.05764626981292848,0.02752519226191925,5000,15
km#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.25,0.25,1,0.5,freebase,25,1150704,adm,1114,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,km,43780,1108038,0,0.029929743743610487,0.003189486666666794,0.05667000082055433,0.02701106201491105,5000,15
km#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.50,0.5,1,0.5,freebase,5,1144067,adm,855,50,n,1,2.0,"zipf#5,50,5,2",5,5,4999,0,km,43780,1101142,0,0.027856450100771906,0.0004147466666666575,0.05529815353487711,0.027662003980530418,5000,1
km#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.50,0.5,1,0.5,freebase,8,1175771,adm,542,50,n,1,2.0,"zipf#5,50,5,2",5,5,4999,0,km,43780,1132533,1,0.02879691057863784,0.0004412399999999951,0.0571525811572759,0.028602655238511434,5000,1
km#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.50,0.5,1,0.5,freebase,20,1186154,adm,1567,50,n,1,2.0,"zipf#5,50,5,2",5,5,4999,0,km,43780,1143941,2,0.02963704423437081,0.00038930666666665386,0.05888478180207477,0.029442951759175995,5000,1
km#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.75,0.75,1,0.5,freebase,5,1139379,adm,1814,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,km,43780,1097413,0,0.027695715536729153,0.00017023999999999094,0.055221191073458305,0.027695715536729153,5000,0
km#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.75,0.75,1,0.5,freebase,8,1174655,adm,1165,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,km,43780,1132040,1,0.029461351352706056,0.00016754666666665658,0.05875515603874552,0.029461351352706056,5000,0
km#max,ms,"0.50,0.50",zipf,0.5,-1,ms#0.75,0.75,1,0.5,freebase,20,1186041,adm,1109,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,km,43780,1143370,2,0.029309212105739307,0.00020801333333332245,0.05841041087814526,0.029309212105739307,5000,0
km#max,ms,"0.50,0.50",zipf,0.5,-1,ms#1.00,1.0,1,0.5,freebase,5,1135502,adm,842,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,km,43780,1092564,0,0.027475423793806356,0.0002211999999999876,0.05472964758761305,0.027475423793806356,5000,0
km#max,ms,"0.50,0.50",zipf,0.5,-1,ms#1.00,1.0,1,0.5,freebase,8,1173287,adm,536,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,km,43780,1130043,1,0.028973087693850475,0.00023929333333331967,0.05770688205436764,0.028973087693850475,5000,0
km#max,ms,"0.50,0.50",zipf,0.5,-1,ms#1.00,1.0,1,0.5,freebase,20,1188225,adm,1008,50,n,1,2.0,"zipf#5,50,5,2",5,5,5000,0,km,43780,1145453,2,0.02939429667896149,0.00021473333333332155,0.058573860024589655,0.02939429667896149,5000,0
km#max,sr,"0.50,0.50",te,0.5,-1,sr,,1,0.5,freebase,2,784489,adm,7321,5,n,1,,"te#2,5,1",1,2,4403,0,km,43780,748030,0,0.13401133689285288,0.11950315333333167,0.14851952045237318,0.016600420327774944,5000,597
km#max,sr,"0.50,0.50",te,0.5,-1,sr,,1,0.5,freebase,20,4791271,adm,6647,50,n,2,,"te#5,50,5",5,5,4517,0,km,43780,4754138,0,0.192607214606718,0.09669760666666885,0.288516822546769,0.1062789828611814,5000,483
km#max,sr,"0.50,0.50",zipf,0.5,-1,sr,,1,0.5,freebase,2,828873,adm,8850,5,n,1,2.0,"zipf#2,5,1,2",1,2,4201,0,km,43780,793943,2,0.1753922740769769,0.15991539333333085,0.19086915482062108,0.01857087308760954,5000,799
km#max,sr,"0.50,0.50",zipf,0.5,-1,sr,,1,0.5,freebase,2,856867,adm,8547,5,n,1,2.0,"zipf#2,5,1,2",1,2,4226,0,km,43780,821634,0,0.17099617599158973,0.15493768666666488,0.18705466531651305,0.01917745477998379,5000,774
km#max,sr,"0.50,0.50",zipf,0.5,-1,sr,,1,0.5,freebase,2,956697,adm,9072,5,n,1,2.0,"zipf#2,5,1,2",1,2,4193,0,km,43780,921989,1,0.1794138518485402,0.16151752666666347,0.1973101770304135,0.021494349693508205,5000,807
km#max,sr,"0.50,0.50",zipf,0.5,-1,sr,,1,0.5,freebase,5,3762845,adm,10527,50,n,1,2.0,"zipf#5,50,5,2",5,5,4053,0,km,43780,3729592,1,0.2674998015678378,0.1895299066666596,0.34546969646900877,0.09636686180533081,5000,947
