num_removed_edges,num_fake_edges,num_raw_edges,sample,calgo_str,gen_str,max_k,alpha_dm,num_anonymized_entities,info_loss,info_loss_args_str,max_dist,num_anonymized_fake_entities,enforcer,num_anonymized_edges,za,anonymized_attribute_anonymity,min_k,anonymized_anonymity,enforcer_str,gen,handler_str,alpha_adm,anonymized_degree_anonymity,range_k,data,calgo,gen_n,adm,dm,am,radm,num_raw_entities,removed_entities
2135,17285,26576,-1,hdbscan#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,41726,2.0,1,5,1,ms#0,zipf,n,0.5,1,5,email,hdbscan,1,0.04655797063014699,0.012992747704264748,0.08012319355602937,0.04655797063014699,1005,0
2153,47703,26576,-1,hdbscan#mean,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,72126,2.0,1,2,1,sr,zipf,n,0.5,1,1,email,hdbscan,0,0.08253586368088504,0.04187817133239253,0.12319355602937758,0.08253586368088504,1005,0
2153,47703,26576,-1,hdbscan#min,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,72126,2.0,1,2,1,sr,zipf,n,0.5,1,1,email,hdbscan,0,0.08253586368088504,0.04187817133239253,0.12319355602937758,0.08253586368088504,1005,0
2271,33850,26576,-1,km#max,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,58155,2.0,1,5,1,sr,zipf,n,0.5,1,5,email,km,2,0.09930394226451257,0.025118190143808342,0.17348969438521636,0.09930394226451257,1005,0
2520,59055,26576,-1,hdbscan#mean,"te#5,50,5",50,0.5,1005,adm,"0.50,0.50",,0,sr,83111,,1,5,1,sr,te,n,0.5,1,5,email,hdbscan,0,0.10503364485320385,0.05159773272938768,0.15846955697701967,0.10503364485320385,1005,0
2520,59055,26576,-1,hdbscan#min,"te#5,50,5",50,0.5,1005,adm,"0.50,0.50",,0,sr,83111,,1,5,1,sr,te,n,0.5,1,5,email,hdbscan,0,0.10503364485320385,0.05159773272938768,0.15846955697701967,0.10503364485320385,1005,0
2557,71895,26576,-1,hdbscan#max,"te#2,5,1",5,0.5,1005,adm,"0.50,0.50",,0,sr,95914,,6,2,1,sr,te,n,0.5,1,1,email,hdbscan,0,0.11151591014366703,0.06439642583104373,0.15863539445628994,0.11151591014366703,1005,0
2557,71895,26576,-1,hdbscan#max,"zipf#2,5,1,2",5,0.5,1005,adm,"0.50,0.50",,0,sr,95914,2.0,6,2,1,sr,zipf,n,0.5,1,1,email,hdbscan,1,0.11151591014366703,0.06439642583104373,0.15863539445628994,0.11151591014366703,1005,0
2600,51898,26576,-1,hdbscan#mean,"te#2,5,1",5,0.5,1005,adm,"0.50,0.50",,0,sr,75874,,3,2,1,sr,te,n,0.5,1,1,email,hdbscan,0,0.08468015289579141,0.04602460335140192,0.12333570244018072,0.08468015289579141,1005,0
2600,51898,26576,-1,hdbscan#min,"te#2,5,1",5,0.5,1005,adm,"0.50,0.50",,0,sr,75874,,3,2,1,sr,te,n,0.5,1,1,email,hdbscan,0,0.08468015289579141,0.04602460335140192,0.12333570244018072,0.08468015289579141,1005,0
2702,55806,26576,-1,hdbscan#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.75,0,ms,79680,2.0,29,5,1,ms#0.75,zipf,n,0.5,1,5,email,hdbscan,1,0.17899602909404627,0.04121878171332389,0.31677327647476794,0.17899602909404627,1005,0
2792,24041,26576,-1,km#max,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,47825,2.0,1,5,1,ms#0,zipf,n,0.5,1,5,email,km,1,0.08883793541178256,0.01617385708274548,0.16150201374082004,0.08883793541178256,1005,0
2922,35090,26576,-1,km#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.75,0,ms,58744,2.0,1,5,1,ms#0.75,zipf,n,0.5,1,5,email,km,2,0.1835395163486055,0.01882032622954876,0.348258706467664,0.1835395163486055,1005,0
