range_k,calgo_str,enforcer_str,gen,info_loss,handler_str,max_k,alpha_adm,info_loss_args_str,gen_str,anony_mode,min_k,data,max_dist,alpha_dm,sample,enforcer,za,calgo,gen_n,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm
1,hdbscan#min,ms#0.50,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.5,0.5,-1,ms,2.0,hdbscan,1.0,0.0025489542243787955,0.0023824336537424744,0.0023824336537424744,0.0,5000.0,0.0,0.0,0.0025489542243787955
1,hdbscan#min,ms#0.75,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.75,0.5,-1,ms,,hdbscan,0.0,0.0016457145641672402,0.0012976317036053277,0.0012976317036053277,0.0,5000.0,0.0,0.0,0.0016457145641672402
1,hdbscan#min,ms#0.75,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.75,0.5,-1,ms,2.0,hdbscan,1.0,0.0025579947722282523,0.002392452958303953,0.002392452958303953,0.0,5000.0,0.0,0.0,0.0025579947722282523
1,hdbscan#min,ms#1.00,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,1.0,0.5,-1,ms,,hdbscan,0.0,0.0016397547661393134,0.0012953800355329885,0.0012953800355329885,0.0,5000.0,0.0,0.0,0.0016397547661393134
1,hdbscan#min,ms#1.00,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,1.0,0.5,-1,ms,2.0,hdbscan,1.0,0.002544258975242087,0.0023812802562583756,0.0023812802562583756,0.0,5000.0,0.0,0.0,0.002544258975242087
1,hdbscan#min,sr,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,,0.5,-1,sr,,hdbscan,0.0,0.32144797991669327,0.0165415911819987,0.0165415911819987,2.0,5000.0,0.0,26.0,0.32104797991669326
1,hdbscan#min,sr,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,,0.5,-1,sr,2.0,hdbscan,1.0,0.32677860536230763,0.02070723087385642,0.02070723087385642,28.666666666666668,5000.0,0.0,14.333333333333334,0.3210452720289743
1,km#max,kp#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.0,0.5,-1,kp,,km,0.0,0.23105836532006316,0.0022540005454537147,0.0022540005454537147,1146.0,5000.0,0.0,600.0,0.0018583653200631525
1,km#max,kp#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.0,0.5,-1,kp,2.0,km,1.0,0.21931996613779822,0.002237075629178868,0.002237075629178868,1087.3333333333333,5000.0,0.0,131.66666666666666,0.0018532994711315505
1,km#max,kp#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.25,0.5,-1,kp,,km,0.0,0.0030427405773404926,0.0028409074309561893,0.0028409074309561893,0.0,5000.0,0.0,765.0,0.0030427405773404926
1,km#max,kp#0.25,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.25,0.5,-1,kp,2.0,km,1.0,0.00506811476916079,0.002856297144016874,0.002856297144016874,10.0,5000.0,0.0,159.0,0.0030681147691607904
1,km#max,kp#0.50,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.5,0.5,-1,kp,,km,0.0,0.003050183573084357,0.0028478425837535444,0.0028478425837535444,0.0,5000.0,0.0,763.0,0.003050183573084357
1,km#max,kp#0.50,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.5,0.5,-1,kp,2.0,km,1.0,0.0032489817260182787,0.0030116837636321486,0.0030116837636321486,0.0,5000.0,0.0,165.33333333333334,0.0032489817260182787
1,km#max,kp#0.75,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.75,0.5,-1,kp,,km,0.0,0.003045322041349887,0.002843316524809392,0.002843316524809392,0.0,5000.0,0.0,760.0,0.003045322041349887
1,km#max,kp#0.75,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.75,0.5,-1,kp,2.0,km,1.0,0.0032509574961566406,0.003012392670341845,0.003012392670341845,0.0,5000.0,0.0,161.33333333333334,0.0032509574961566406
1,km#max,kp#1.00,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,1.0,0.5,-1,kp,,km,0.0,0.003040780495192679,0.002836987200269414,0.002836987200269414,0.0,5000.0,0.0,760.0,0.003040780495192679
1,km#max,kp#1.00,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,1.0,0.5,-1,kp,2.0,km,1.0,0.00325856018512583,0.003020649457556895,0.003020649457556895,0.0,5000.0,0.0,163.66666666666666,0.00325856018512583
1,km#max,ms#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.0,0.5,-1,ms,,km,0.0,0.12019256895021808,0.0008095772755568791,0.0008095772755568791,597.0,5000.0,0.0,0.0,0.0007925689502180903
1,km#max,ms#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.0,0.5,-1,ms,2.0,km,1.0,0.16026604277889747,0.001607370123539777,0.001607370123539777,793.3333333333334,5000.0,0.0,0.0,0.001599376112230803
