info_loss_args_str,anony_mode,min_k,za,gen,enforcer_str,sample,handler_str,alpha_dm,enforcer,calgo,max_k,data,gen_str,alpha_adm,max_dist,calgo_str,info_loss,range_k,gen_n,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm
"0.50,0.50",anony,2,2.0,zipf,ms#0.50,-1,n,0.5,ms,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.5,hdbscan#min,adm,1,1.0,0.010663090611854253,0.009732023590888624,0.009732023590888624,0.0,1005.0,0.0,0.0,0.010663090611854253
"0.50,0.50",anony,2,2.0,zipf,ms#0.50,-1,n,0.5,ms,km,5,email,"zipf#2,5,1,2",0.5,0.5,km#max,adm,1,1.0,0.008012507941222578,0.0068573873217376916,0.0068573873217376916,0.3333333333333333,1005.0,0.0,0.0,0.007680832982681948
"0.50,0.50",anony,2,2.0,zipf,ms#0.50,-1,n,0.5,ms,km,5,email,"zipf#2,5,1,2",0.5,0.5,km#mean,adm,1,1.0,0.012547308470676697,0.010272064599127188,0.010272064599127188,1.0,1005.0,0.0,0.0,0.011552283595054806
"0.50,0.50",anony,2,2.0,zipf,ms#0.50,-1,n,0.5,ms,km,5,email,"zipf#2,5,1,2",0.5,0.5,km#min,adm,1,1.0,0.012734043593923288,0.010526970162019443,0.010526970162019443,1.0,1005.0,0.0,0.0,0.0117390187183014
"0.50,0.50",anony,2,2.0,zipf,ms#0.50,-1,n,0.5,ms,vac,5,email,"zipf#2,5,1,2",0.5,0.5,vac,adm,1,1.0,0.006495984894291869,0.0045824242331661295,0.0045824242331661295,0.3333333333333333,1005.0,0.0,0.0,0.0061643099357512375
"0.50,0.50",anony,2,2.0,zipf,ms#0.75,-1,n,0.5,ms,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.75,hdbscan#max,adm,1,1.0,0.01143239028736912,0.010430456919622676,0.010430456919622676,0.0,1005.0,0.0,0.0,0.01143239028736912
"0.50,0.50",anony,2,2.0,zipf,ms#0.75,-1,n,0.5,ms,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.75,hdbscan#mean,adm,1,1.0,0.010756122255342566,0.010047601953140391,0.010047601953140391,0.0,1005.0,0.0,0.0,0.010756122255342566
"0.50,0.50",anony,2,2.0,zipf,ms#0.75,-1,n,0.5,ms,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.75,hdbscan#min,adm,1,1.0,0.01057368924154399,0.00967623446911055,0.00967623446911055,0.0,1005.0,0.0,0.0,0.01057368924154399
"0.50,0.50",anony,2,2.0,zipf,ms#0.75,-1,n,0.5,ms,km,5,email,"zipf#2,5,1,2",0.5,0.75,km#max,adm,1,1.0,0.007808811898809671,0.006907490788325886,0.006907490788325886,0.0,1005.0,0.0,0.0,0.007808811898809671
"0.50,0.50",anony,2,2.0,zipf,ms#0.75,-1,n,0.5,ms,km,5,email,"zipf#2,5,1,2",0.5,0.75,km#mean,adm,1,1.0,0.011588385954614512,0.010516386677532094,0.010516386677532094,0.0,1005.0,0.0,0.0,0.011588385954614512
"0.50,0.50",anony,2,2.0,zipf,ms#0.75,-1,n,0.5,ms,km,5,email,"zipf#2,5,1,2",0.5,0.75,km#min,adm,1,1.0,0.012272067758813128,0.010540791721350808,0.010540791721350808,0.3333333333333333,1005.0,0.0,0.0,0.0119403928002725
